locus_tag,gene,COG Class,COG category,prophage gene,strand,frame,start,stop,regulation,product,BKE#,RF_ErmR_LB37oC,nRF_ErmR_LB16oC,nRF_ErmR_glucose complete,nRF_ErmR_glucose+NH4+,nRF_ErmR_LB52oC,nRF_ErmR_LB22oC,nRF_ErmR_MC,nRF_ErmR_competence medium,nRF_ErmR_glucose+glutamine,nRF_ErmR_glucose+glutamate,nRF_ErmR_glucose+ornithine,nRF_ErmR_glucose+adenine,nRF_ErmR_glucose+malate+NH4+,nRF_ErmR_malate+NH4+,nRF_ErmR_pyruvate+NH4+,nRF_ErmR_fructose+NH4+,nRF_ErmR_glycerol+NH4+,nRF_ErmR_gluconate+NH4+,nRF_ErmR_succinate+glutamate,nRF_ErmR_glucose+nitrate,BKK#,RF_KanR_LB37oC,nRF_KanR_LB16oC,nRF_KanR_glucose complete,nRF_KanR_glucose+NH4+,nRF_KanR_LB52oC,nRF_KanR_LB22oC,nRF_KanR_glucose+glutamine,nRF_KanR_glucose+glutamate,nRF_KanR_glucose+ornithine,nRF_KanR_glucose+adenine,nRF_KanR_glucose+malate+NH4+,nRF_KanR_malate+NH4+,nRF_KanR_pyruvate+NH4+,nRF_KanR_fructose+NH4+,nRF_KanR_glycerol+NH4+,nRF_KanR_gluconate+NH4+,nRF_KanR_succinate+glutamate,nRF_KanR_glucose+nitrate
BSU00170,yaaI,HR,coenzyme transport and metabolismgeneral function prediction only , ,lagging,-1,25221,25766,SigB.,putative enzyme (isochorismatase family),BKE00170,1.197509433,0.848977489,0.959629541,0.865361293,0.751261491,0.664849012,0.856438599,0.930562162,0.758514537,1.038130581,0.764294734,0.800678241,0.797820018,0.717667428,0.848824425,0.768213442,0.746186689,0.920064895,0.794679375,0.663537806,BKK00170,1.085184617,0.985021919,0.995331694,0.868991203,0.961543838,0.850084203,0.873805889,0.784345337,0.937611844,0.746317768,0.898612263,0.857229366,0.865735633,0.799227125,0.730330108,0.953527921,0.857910948,0.902990792
BSU00180,tadA,J,"translation, ribosomal structure and biogenesis", ,leading,1,25852,26337,..,tRNA specific adenosine deaminase,BKE00180,0.907288507,1.248828839,0.829250037,0.328470117,0.756998592,0.989472003,0.949844029,0.537930252,0.741431571,0.781416112,0.621108431,0.567846913,0.418186309,0.446020081,0.271985544,0.336761125,0.465802252,0.315131315,0.37854812,0.439965825,BKK00180,0.714532414,1.798237134,0.79247324,0.551540279,1.060095199,1.579019674,1.109721598,1.176421222,0.803790295,1.00115891,0.811419849,0.912335577,0.38847519,0.369932636,0.646675856,0.25674794,0.660036149,0.855088612
BSU00200,yaaK,R,general function prediction only , ,leading,1,28529,28852,..,DNA binding protein,BKE00200,1.158275903,0.960514757,1.117858855,0.892744461,0.958727039,0.936937378,1.101763724,0.987611934,0.724853904,0.908193139,0.800308913,0.77698315,1.084215812,1.189813054,0.83408775,0.75513868,1.085997522,0.996088056,0.740405886,0.615331688,BKK00200,1.066291261,0.972222382,1.09619508,1.028809703,0.650812172,0.921245624,0.996105987,0.920915334,0.918368107,1.177372538,1.166044109,1.346117353,0.831891882,0.662783449,0.813397059,0.654334433,0.831568565,0.981813454
BSU00210,recR,L,"replication, recombination and repair", ,leading,1,28867,29463,..,DNA repair and recombination protein,BKE00210,0.603399042,1.243022858,0.562656739,1.309671888,1.206696222,1.032984839,0.888020072,0.891362816,1.268884426,1.351883395,1.150598734,1.268981743,1.27626633,1.390578344,1.169526859,1.554533676,0.455622857,1.894120549,1.110008835,0.971238497,BKK00210,0.86145119,1.127301604,0.898886983,0.926429753,0.743335231,1.120934355,0.937538475,1.081702576,0.91986839,0.896022371,0.96494103,0.913785665,0.84559846,0.737400607,0.940908563,0.700139895,0.765821262,0.69198511
BSU00220,yaaL,,, ,leading,1,29481,29705,..,conserved hypothetical protein,BKE00220,0.865141339,1.097585043,0.913968248,1.074371702,1.181931671,1.171195804,1.147404361,1.141018945,1.167399703,0.989510886,1.037908738,1.2122833,1.166778588,1.158102082,1.064856299,1.232563323,1.419631498,1.265129585,1.23621063,1.171654152,BKK00220,0.920154767,1.056988076,0.914112653,1.068299677,0.886747153,1.123572955,1.059083138,0.967718221,0.965796127,1.113384538,1.00517525,1.057968556,1.027475204,0.980095833,1.054772954,1.101359007,1.046740491,1.012660142
BSU00230,bofA,,, ,leading,1,29772,30035,SigE.SpoIIID_repress.,inhibitor of the pro-sigma(K) processing machinery,BKE00230,0.996039702,1.067459763,0.970045258,0.98199984,1.096197519,0.972219094,0.925455324,1.020616119,0.957369,0.819427808,0.855526712,0.63943205,1.007488088,0.945474147,0.88131449,0.89141865,0.954084721,0.870907079,0.850257985,0.707673863,BKK00230,0.907156925,1.004080677,0.935942075,1.00565534,1.136234667,0.994723245,1.035526563,1.004525653,0.932779241,0.965354798,1.066444914,1.131131824,0.851786095,1.065505077,0.903053894,0.749411435,0.900433709,0.904790265
BSU00240,csfB,,, ,leading,1,35531,35725,SigF.,forespore-specific anti-sigma factor,BKE00240,1.066348657,1.280715401,1.326657097,0.965244907,0.997919661,1.367086583,0.954965982,1.076304152,0.821037903,0.990765387,0.868955914,0.888482573,0.977080053,1.070848651,0.773387493,0.906310797,0.994462262,0.853789405,0.921344979,0.729877009,BKK00240,0.984745567,1.178057004,0.96065446,1.03929626,1.035186859,0.857540563,0.944541018,0.831176443,0.778156796,1.017773516,1.081305411,1.092409589,0.906414441,0.844757574,0.923464197,0.640780179,0.85098486,1.149610996
BSU00250,xpaC,QR,"secondary metabolites biosynthesis, transport and catabolism general function prediction only ", ,leading,1,35845,36459,SigW.,putative phosphatase,BKE00250,1.036509664,0.980314717,1.024045293,0.973308495,0.985082284,0.955647466,0.902049227,0.894824611,1.118583979,1.214348056,1.188854422,1.11141212,0.970566937,0.928691492,1.108836443,1.057895781,1.044046865,1.118211649,1.027655428,1.017567356,BKK00250,0.942011066,1.133654243,0.504247227,0.61972114,0.961910883,0.842485739,0.983765563,0.962309908,0.920649415,1.057677956,0.723250408,0.581228324,0.705779244,0.821591603,0.810504779,0.730009771,0.75912122,0.808657437
BSU00260,yaaN,V,defense mechanisms, ,leading,1,36478,37638,SigW.,conserved hypothetical protein,BKE00260,1.018368775,1.30812782,1.10478004,0.996857163,1.044952442,1.027110342,0.976844921,1.179044425,1.008308979,1.143358138,1.182118718,0.916964344,1.007675536,0.910019088,0.854431733,0.981791428,1.204075983,1.008920267,0.934344712,1.034634394,BKK00260,1.069493786,0.941892634,1.292337582,0.905282593,1.281413407,0.726053336,1.031863711,1.005382829,0.697669633,1.249479667,0.883646307,0.749339129,0.762856556,0.897060727,0.827550504,0.682082744,0.764646852,0.946322884
BSU00270,yaaO,E,amino acid transport and metabolism , ,leading,1,37720,39162,..,putative decarboxylase,BKE00270,0.896017452,1.643757313,1.177648794,1.163649444,1.00316191,1.3237823,1.074375889,1.276988587,1.183153533,1.432286008,1.234416312,0.737738575,1.110886939,1.118342584,0.904194651,1.303780746,1.16458758,1.032979816,0.908830453,0.765292522,BKK00270,0.953112148,0.684516569,0.959172455,0.795148824,1.122801439,0.690568774,1.177286888,1.02394023,0.794399312,1.129803775,1.087254243,1.024301436,0.676059016,0.739090021,0.757629955,0.576956657,0.825366183,0.865244847
BSU00290,yaaQ,S,function unknown, ,leading,1,39871,40200,..,"signal transduction receptor, cyclic di-AMP binding",BKE00290,1.020781173,1.259297734,0.921145346,0.956028675,0.901100058,1.124224019,1.001200599,1.09661867,0.988770795,1.097309241,1.088722788,0.851637942,0.941326156,0.838077877,0.767384401,1.007325923,0.98755339,1.016119135,0.9494136,0.758214727,BKK00290,1.079412119,0.810256276,1.117016735,0.905873362,0.936843465,0.681175087,1.031445552,1.0142363,1.015230801,1.076060985,0.821856556,0.741835128,0.791803597,0.88066407,0.832608925,0.575656364,0.756769765,0.990287535
BSU00300,yaaR,S,function unknown, ,leading,1,40213,40653,..,conserved hypothetical protein,BKE00300,0.83856225,1.430445946,1.034694596,1.105774394,1.273140013,1.126097887,1.143221714,1.152584291,1.546736012,1.312359455,1.535474339,1.236028421,1.119585475,1.190122115,1.142964293,1.168366703,1.055118726,1.155124678,0.955475682,1.129615031,BKK00300,1.058370479,1.191003162,1.120341498,0.938929158,0.858421258,1.056058357,0.916189089,1.06254442,1.070923866,1.207870428,0.791722776,0.754706372,0.826280455,0.834849108,0.895898538,0.693871561,0.907737745,0.73339419
BSU00320,yaaT,T,signal transduction mechanisms , ,leading,1,41657,42484,..,"subunit of a sporulation, competence and biofilm formation regulatory complex",BKE00320,1.078602927,0.650236938,1.105480405,0.874582205,0.987799936,0.798251436,0.758607299,0.812551477,0.698308619,0.987255311,0.47850768,0.694445653,1.451136667,1.123463118,0.664662873,1.509532244,0.783716488,1.95662265,0.782296879,0.903333895,BKK00320,1.139344523,0.583274377,1.075848952,0.95334447,1.080123527,0.602532931,0.816486954,0.826717481,0.782950476,0.868749983,1.556100456,1.499320669,0.944730632,1.019086803,0.887538588,0.903798541,0.77608659,1.439898762
BSU00330,yabA,L,"replication, recombination and repair", ,leading,1,42499,42858,..,subunit of the DNA replication complex,BKE00330,0.969671591,0.917497892,1.037558051,0.706797129,1.224110326,0.755646193,1.015229709,1.161455755,1.150157762,0.954410133,1.068466619,0.759201811,0.995920507,1.169658268,0.680121899,0.825274332,1.122705515,1.210685888,0.6974272,0.811409638,BKK00330,1.212183745,0.708261511,0.878222217,0.457652081,0.706826631,0.999504408,0.647399243,0.692334942,0.604340059,0.658435138,0.539473524,0.778406604,0.409482929,0.437351789,0.428201271,0.440405131,0.366431483,0.591653825
BSU00340,yabB,J,"translation, ribosomal structure and biogenesis", ,leading,1,42917,43660,..,tRNA1(Val) (adenine(37)-N6)-methyltransferase,BKE00340,0.913134755,1.222207924,1.015547875,1.043296443,1.086391486,1.304916013,1.12267286,1.219212299,0.964068924,1.215774978,0.992761333,0.7838192,1.135691396,1.089536991,0.875048747,0.975916867,1.130722527,0.931337194,0.994791446,0.891097613,BKK00340,0.94361009,1.057450366,1.061392399,1.020227882,1.027030886,1.064507824,0.993346453,0.979613409,0.938870915,0.938753032,1.017159695,0.961997013,0.86990662,0.7494127,0.76426529,0.843952725,0.841836704,1.092773733
BSU00350,yazA,L,"replication, recombination and repair", ,leading,1,43647,43946,..,putative UvrC-Intron-type (URI) endonuclease,BKE00350,0.784561305,1.237969586,0.900979321,1.249052627,1.185804984,1.428996001,1.121536498,1.233855283,0.893623395,1.243859304,0.99588216,1.031444749,1.252303276,1.217560464,1.138414178,1.178102659,0.877504586,1.29331459,1.062031939,0.901016658,BKK00350,0.989866613,1.002110999,0.903344225,0.891643805,0.976203401,0.902506605,0.912715572,0.956826788,0.80780329,1.034590091,0.895991005,0.894131318,1.068230885,0.948102866,0.925648067,0.873912894,0.839529601,1.16620697
BSU00360,yabC,J,"translation, ribosomal structure and biogenesis", ,leading,1,43921,44799,..,ribosomal RNA small subunit methyltransferase I,BKE00360,1.024061329,1.105556463,1.027280096,1.141839985,1.051804977,0.986559731,1.115672483,1.112462941,0.915746437,1.402058551,0.991965035,1.081694854,1.430099011,1.133974618,1.241261431,1.276773525,0.413127665,1.3027729,1.187221753,1.002903167,BKK00360,1.035723474,0.835635166,0.98306163,1.182094432,1.129451125,0.975000033,0.919441655,0.986510867,1.035582827,1.104303938,1.494691135,1.411659424,1.380402813,1.114066214,1.053527641,1.071714479,0.971075304,1.135734718
BSU00370,abrB,K,transcription, ,lagging,-1,44848,45138,AbrB_repress.Spo0A_repress.,transcriptional regulator for transition state genes,BKE00370,0.933834453,0.490563074,0.908487348,0.641998165,1.022479534,0.990498013,0.685947296,0.71369053,0.729142852,0.810212921,0.763864637,0.727475547,0.395324712,0.486496659,0.666800401,0.549084537,1.104465543,0.432361426,0.370182979,0.778674391,BKK00370,1.079229773,0.939312679,0.89912579,0.429239268,0.654765299,0.768037377,0.581138084,0.449885,0.582186013,0.583092263,0.464114622,0.446052395,0.479802381,0.234993911,0.41579579,0.164294248,0.21443827,0.574531992
BSU00390,yabD,L,"replication, recombination and repair", ,leading,1,47706,48473,..,metal-dependent DNase,BKE00390,1.00028526,0.990426205,0.989352486,1.177498561,1.065524244,1.032241714,0.913211103,1.0768567,0.943063536,1.107288036,0.91581416,0.878185261,1.204610181,1.110530746,1.055418285,1.187662606,0.275227732,1.138957692,1.039854503,0.999612491,BKK00390,0.985353105,0.962452467,0.955254416,1.292371167,1.079935335,1.070203632,1.098887982,1.063341971,1.001108939,1.362475534,1.482013961,1.359495142,1.142110666,1.104609195,1.13082988,1.012513675,0.949887863,1.164294439
BSU00400,yabE,S,function unknown, ,leading,1,48629,49942,..,putative cell wall shaping enzyme,BKE00400,0.913347209,1.050334414,1.225714042,1.199838249,1.051857591,1.200564345,1.129020151,1.247082755,0.966129819,1.243784291,1.02226601,0.85239232,1.164644232,1.315520273,0.972020833,1.037146826,0.962477928,1.14153867,1.068713287,0.928369839,BKK00400,1.141376307,1.022650584,1.039301721,1.063547242,1.115589455,0.85915734,0.889103722,0.751541586,0.692218489,1.085271929,1.155415347,1.116936122,1.04734308,0.945437215,0.976591596,0.840084467,0.752005258,1.13969248
BSU00410,rnmV,J,"translation, ribosomal structure and biogenesis", ,leading,1,50087,50647,..,ribonuclease M5,BKE00410,1.030941665,0.937770803,1.02986023,1.0396249,1.029926941,1.116697267,1.189116131,1.10026096,0.772824798,0.857895293,0.927920142,0.887644487,1.094659108,1.078987828,0.957854521,0.877843365,0.288212577,1.032471276,0.922245437,0.840297899,BKK00410,1.204199501,0.941310162,1.147317181,0.885126185,0.969862034,0.816266718,0.849094019,0.656214347,0.665059487,1.131311547,1.073848481,1.021794447,0.905516713,0.955687575,0.793595239,0.782893869,0.799602116,1.051872277
BSU00420,ksgA,J,"translation, ribosomal structure and biogenesis", ,leading,1,50640,51518,SigF.,dimethyladenosine 16S ribosomal RNA transferase,BKE00420,1.047725331,0.607824648,1.194087916,1.068955088,1.294581385,0.993323243,1.126841729,1.210326612,1.026838472,0.960505245,1.013486843,0.975941668,1.074102389,1.046362763,0.940231984,0.99615605,0.321004393,1.103568765,0.9172265,0.87831235,BKK00420,1.07231558,0.984283595,1.340559214,1.080435305,0.775331993,1.018101505,0.782396484,1.030284639,0.735928663,1.069172678,1.016455622,1.036360596,0.795772374,0.779866644,0.835008078,0.692549792,0.837500126,0.628922437
BSU00430,yabG,,, ,leading,1,51680,52552,SigK.,sporulation-specific protease,BKE00430,1.082155104,0.883172626,1.178110946,1.081333728,1.083695717,0.867882055,1.15779823,1.084360311,0.992753351,0.907249644,0.955284278,0.864069781,1.179831517,1.063428897,0.920720489,1.018844175,0.260552389,1.169383709,0.868816211,0.9160717,BKK00430,1.18414916,1.042790803,1.193439259,1.099645127,0.967442619,1.001335485,0.937488518,0.798546048,1.082183588,0.954482288,1.083683922,1.035986014,1.078052369,0.916049377,0.888725977,0.8829832,0.794693687,1.18541417
BSU00440,veg,S,function unknown, ,leading,1,52763,53023,..,conserved hypothetical protein,BKE00440,0.891203055,0.168987279,0.757723421,0.771798333,1.096190677,0.469115974,0.995488319,0.981285646,0.904118624,1.035023877,1.018443441,0.871172504,0.800863478,0.831409002,0.812951258,0.852090369,0.64600066,1.574815441,0.791374878,0.994389866,BKK00440,1.140991916,0.634262229,0.997286333,0.546858691,1.040575221,0.699404086,0.943728111,0.852175645,0.97729423,0.856491898,0.609956749,0.609675035,0.73100135,0.789087602,0.737065514,0.837980776,0.737164078,1.012961391
BSU00450,sspF,,, ,leading,1,53183,53368,SigG.,small acid-soluble spore protein (alpha/beta-type SASP),BKE00450,1.04822847,0.671862699,0.963717086,0.85335086,1.131773631,0.805574758,0.93516912,0.842825999,1.104074826,1.00197545,1.063324389,0.944532231,0.878449735,0.923524207,0.983883342,0.884861011,0.988032392,1.109163192,1.069203698,1.036195411,BKK00450,1.21885917,0.790038402,1.001098489,0.564636102,0.815793895,0.795696982,0.763537208,0.6656475,0.729748424,0.861535383,0.566057639,0.574233982,0.611240244,0.624647134,0.70019671,0.632380467,0.723027178,0.587304392
BSU00470,purR,F,nucleotide transport and metabolism, ,leading,1,54441,55298,PurR_repress.,transcriptional regulator of the purine biosynthesis operon,BKE00470,0.763502143,1.062258698,0.878802331,1.347544107,1.115245196,1.070864456,1.21067777,0.973493662,1.474678575,1.337221456,1.136295648,1.103692746,1.432555126,1.351262324,1.101522766,1.538480639,0.46421229,1.27682451,0.982969373,1.246706764,BKK00470,0.997232426,0.839732801,0.991869395,1.037794776,0.849930554,0.990602327,1.16003531,1.141026321,1.02999294,0.854992883,1.05634042,1.008860335,0.817740702,0.976710311,0.945420576,0.838475249,0.875937539,1.267373658
BSU00480,yabJ,KF,transcriptionnucleotide transport and metabolism, ,leading,1,55295,55672,PurR_repress.,aminoacrylate/iminopropionate hydrolase/deaminase,BKE00480,0.812652098,1.285285034,0.860368808,1.08717155,1.145312979,1.074390424,1.180139072,1.145400546,1.192658949,1.269077085,1.083721777,1.245315426,1.19800081,1.214835112,1.136803198,1.203114066,0.415759134,1.251298276,1.242192504,1.156298047,BKK00480,0.985207686,1.028393677,0.96797676,0.994927006,0.948368729,1.069439752,1.071001143,0.979860194,1.060268959,1.01753466,0.972435547,1.030168013,0.984146811,1.017355391,1.05581944,0.822455001,1.047051832,0.913174765
BSU00490,spoVG,D,"cell cycle control, cell division, chromosome partitioning", ,leading,1,55866,56159,AbrB_repress.SigH.SinR_repress.,regulator required for spore cortex synthesis (stage V sporulation),BKE00490,1.062849149,0.402379171,1.246038861,0.9966055,1.03756863,0.925818401,1.264960422,1.268795027,0.76929758,0.926360355,0.83513916,0.623553149,2.049712735,1.486104071,0.948900684,0.836398885,0.387316944,1.387029069,0.565455987,0.725671263,BKK00490,1.3252507,0.668815534,1.01827609,0.83812906,1.092870012,0.564859488,0.91876011,0.843830483,1.095167806,0.755288898,1.832738926,1.532329903,1.143407563,0.878681549,0.832283034,0.988273387,0.605555312,0.792028727
BSU00520,ctc,J,"translation, ribosomal structure and biogenesis", ,leading,1,58783,59397,SigB.,"ribosomal protein Ctc, binding 5S RNA",BKE00520,0.961383712,0.844210754,0.848276518,0.938713467,0.975293085,1.213949574,0.887303966,0.826064045,0.850678646,1.133121933,0.830163562,0.778998001,0.912501835,0.897738736,0.81648029,0.950584335,0.978021959,0.850704515,0.86247338,0.691759175,BKK00520,1.076534247,1.025410131,0.972492328,0.963620816,0.918793237,0.981710542,0.82708946,0.848919317,0.774539608,0.915225254,0.846744733,0.918041017,0.98889302,0.656043779,0.839938133,1.098587545,0.792021145,0.956133878
BSU00540,yabK,,, ,leading,1,60130,60360,SigF.SigG.,protein required for the switch from F to G during sporulation (anti sigma F),BKE00540,0.888928556,0.896483494,0.855581363,0.979938619,1.07218366,0.996202121,0.926601294,0.950135953,0.960878933,1.104708162,1.058519939,1.131145518,0.925383067,0.98533687,1.111833303,1.151632253,0.830473005,1.10403082,1.040422424,0.98486895,BKK00540,0.993512057,0.642813685,0.879808206,0.782416835,1.075201393,0.874621648,0.972239463,0.933444581,0.854609762,0.93811423,0.855323988,0.786464044,0.921456907,0.890307017,0.833391623,0.894988666,0.935931944,1.046311248
BSU00550,mfd,LK,"replication, recombination and repairtranscription", ,leading,1,60430,63963,..,transcription-repair coupling factor,BKE00550,0.817908395,1.121150006,1.059232559,1.253376947,1.216423992,1.288112181,1.30137655,1.440308822,1.36045518,1.745363993,1.281187504,1.131386877,1.583263559,1.692782011,1.15181581,1.167753174,0.599756206,1.916674716,1.356158315,0.799827896,BKK00550,0.969135879,1.048507374,0.980189525,1.060928278,1.230376691,1.058301966,1.101572469,1.232094672,1.033082885,1.074221101,1.285652757,1.352694792,1.033974931,0.821942922,0.899498524,0.899082267,1.143964677,0.728207703
